state,amount
Ohio,62
Texas,229
Washington,57
California,451
New Jersey,73
Florida,111
Illinois,112
North Carolina,112
Indiana,44
Iowa,15
Virginia,126
Arizona,45
Wisconsin,34
Connecticut,26
Oregon,19
Minnesota,42
Massachusetts,95
Pennsylvania,78
Georgia,80
Michigan,59
Louisiana,5
Tennessee,25
Delaware,8
Utah,29
Colorado,72
New York,97
Oklahoma,14
Maryland,55
Kentucky,13
South Carolina,27
New Hampshire,14
Kansas,35
Nevada,11
Alaska,2
Idaho,4
Alabama,26
Nebraska,11
Rhode Island,14
Mississippi,9
Missouri,34
West Virginia,1
Maine,2
Arkansas,3
Montana,2
New Mexico,6
Hawaii,2
North Dakota,1
South Dakota,1
Wyoming,1
